iter	Logloss
0	0.600617631
1	0.5121751557
2	0.4422659154
3	0.3877673241
4	0.3437251375
5	0.3088607097
6	0.2786099309
7	0.2518316019
8	0.2292075838
9	0.2089079852
10	0.1934459085
11	0.1805833746
12	0.1699587381
13	0.159721673
14	0.1512331464
15	0.1432949876
16	0.1371530643
17	0.1319247182
18	0.1274884229
19	0.1238132131
20	0.1191632398
21	0.1152697483
22	0.1102230134
23	0.1073231019
24	0.1046923167
25	0.102224001
26	0.09953590451
27	0.09777131399
28	0.09604563823
29	0.09469044808
30	0.09266305764
31	0.09118616026
32	0.08987779547
33	0.08809819632
34	0.08700676112
35	0.08593925502
36	0.08478519311
37	0.08403040594
38	0.08261011707
39	0.08078644798
40	0.08018219108
41	0.07913403878
42	0.07840375479
43	0.07706540312
44	0.0763329533
45	0.07491528948
46	0.07283043827
47	0.0721943851
48	0.07122813011
49	0.07067524394
50	0.06997631993
51	0.06856137498
52	0.0682089238
53	0.06746219685
54	0.06690516797
55	0.06608284356
56	0.06578325055
57	0.06525560674
58	0.06485083939
59	0.06432913157
60	0.06397568196
61	0.06346266852
62	0.06305978151
63	0.06262802406
64	0.06199789466
65	0.0616716632
66	0.06112053588
67	0.06062963768
68	0.06042848312
69	0.05988711315
70	0.05932876304
71	0.05893640478
72	0.05856897335
73	0.058241643
74	0.05796151403
75	0.05754424484
76	0.05616590374
77	0.05570804425
78	0.05553378023
79	0.05512963789
80	0.0547769463
81	0.05430714129
82	0.05403029079
83	0.05354641395
84	0.05330114539
85	0.05310196656
86	0.05249737943
87	0.05189798693
88	0.05137147378
89	0.05111420877
90	0.05087776641
91	0.05068453596
92	0.05054076358
93	0.05030975327
94	0.04999683245
95	0.04914290421
96	0.04851780731
97	0.04824277099
98	0.04788311369
99	0.0476114484
100	0.04733578748
101	0.04707158894
102	0.04653835159
103	0.04616749155
104	0.04599678402
105	0.04576649354
106	0.04556501583
107	0.04530750889
108	0.04515622018
109	0.04474425004
110	0.0445702355
111	0.0443020222
112	0.04393389722
113	0.04382759045
114	0.04375413532
115	0.04367965318
116	0.04349486717
117	0.0432088353
118	0.04285682731
119	0.04266383138
120	0.04223074662
121	0.04191956902
122	0.0417044465
123	0.04160112358
124	0.04147307492
125	0.04128066645
126	0.04073033543
127	0.04066903994
128	0.04058918779
129	0.04032528932
130	0.04012620093
131	0.0398203545
132	0.03973129489
133	0.03952583674
134	0.03935236202
135	0.0391705012
136	0.03915713533
137	0.03911643179
138	0.03900731221
139	0.03863742179
140	0.03853696692
141	0.03838953035
142	0.03833382286
143	0.03826407422
144	0.0381615551
145	0.03795685692
146	0.03773450796
147	0.03759844205
148	0.03726116247
149	0.0371182457
150	0.03702234528
151	0.03686701692
152	0.0364420941
153	0.03634741986
154	0.03599950583
155	0.03580382809
156	0.03562042483
157	0.03547956321
158	0.03538467486
159	0.03526145694
160	0.03510405764
161	0.03491191316
162	0.03474216174
163	0.03461288455
164	0.03448157272
165	0.03426152946
166	0.03419340849
167	0.03403187516
168	0.0339529435
169	0.03377871146
170	0.03356442994
171	0.03340574097
172	0.03329477386
173	0.03305840762
174	0.03297659677
175	0.03287126952
176	0.03269243411
177	0.03265529927
178	0.03255856504
179	0.03243678795
180	0.03234001571
181	0.0322696511
182	0.03216971693
183	0.03202249438
184	0.03166601272
185	0.03151186201
186	0.03137843721
187	0.03115461215
188	0.0309838958
189	0.03094198364
190	0.03089570847
191	0.03083548371
192	0.03064321299
193	0.03057164705
194	0.03052358112
195	0.03030963242
196	0.03022553843
197	0.03017349541
198	0.03011826377
199	0.03005305384
200	0.02998883469
201	0.02983474728
202	0.02973701238
203	0.02963467183
204	0.02950445281
205	0.02939703078
206	0.02919083662
207	0.02908535032
208	0.02898574603
209	0.0288661142
210	0.02875686039
211	0.02866446933
212	0.02851445752
213	0.02840928097
214	0.02829258121
215	0.02825152768
216	0.02812370756
217	0.02801137234
218	0.02790312956
219	0.02772899008
220	0.02762262549
221	0.02755044045
222	0.02726870618
223	0.02723628693
224	0.02717139132
225	0.02707480838
226	0.02692463277
227	0.02669681401
228	0.02651079173
229	0.02638079257
230	0.02631484665
231	0.02615115908
232	0.02590917794
233	0.02580160693
234	0.02572520459
235	0.02558345131
236	0.02543381083
237	0.02536899888
238	0.02524817893
239	0.02515261892
240	0.02505370022
241	0.02497071132
242	0.02493375261
243	0.02479907162
244	0.02471893167
245	0.02462559833
246	0.02452342314
247	0.02431024231
248	0.02421735602
249	0.02419054981
250	0.02416280406
251	0.02405773165
252	0.02401855765
253	0.0238837267
254	0.02383903678
255	0.02372228288
256	0.02367199195
257	0.02359335814
258	0.02352195271
259	0.02345192373
260	0.02338576926
261	0.02327881491
262	0.02319559435
263	0.02304124919
264	0.02300488764
265	0.02287639699
266	0.02277332784
267	0.02275420408
268	0.02272805619
269	0.02259318342
270	0.02255798668
271	0.02246254679
272	0.02240587695
273	0.02235915547
274	0.02226825297
275	0.02224139669
276	0.02219877825
277	0.0221202207
278	0.02198021729
279	0.02187786208
280	0.02180717503
281	0.02175156806
282	0.02168710976
283	0.02158143279
284	0.02151480901
285	0.02141576691
286	0.02136099633
287	0.02121763041
288	0.02106344397
289	0.02101472268
290	0.02091315318
291	0.02088432975
292	0.02083039244
293	0.02078317952
294	0.02070694074
295	0.02062510386
296	0.02055190074
297	0.02049675277
298	0.0203932071
299	0.02035826751
300	0.02030907326
301	0.02028221394
302	0.02024148119
303	0.0201839366
304	0.02011115501
305	0.02010242399
306	0.02004082799
307	0.02001542702
308	0.0199511458
309	0.01986498889
310	0.01983597944
311	0.01975061112
312	0.019664139
313	0.01941430152
314	0.01922700291
315	0.01921226584
316	0.0191435429
317	0.01901591293
318	0.01901190841
319	0.01896100866
320	0.01890638043
321	0.0188490733
322	0.01884139872
323	0.01879314738
324	0.01873550583
325	0.01870685772
326	0.01868164998
327	0.01862143641
